region	chr	midPos	Nsites	Fst
(35,752)(10147,109815)(10000,110000)	chr9	60000	719	0.069705
(68,798)(20170,119931)(20000,120000)	chr9	70000	732	0.070771
(158,894)(30018,129772)(30000,130000)	chr9	80000	738	0.073720
(227,955)(40177,139998)(40000,140000)	chr9	90000	730	0.076500
(321,1040)(50005,149893)(50000,150000)	chr9	100000	721	0.077509
(399,1102)(60001,159309)(60000,160000)	chr9	110000	705	0.072038
(506,1187)(70153,169967)(70000,170000)	chr9	120000	683	0.072886
(543,1269)(80665,179951)(80000,180000)	chr9	130000	728	0.074999
(601,1323)(90099,189984)(90000,190000)	chr9	140000	724	0.076601
(719,1375)(100221,199316)(100000,200000)	chr9	150000	658	0.082240
(753,1395)(110027,209794)(110000,210000)	chr9	160000	644	0.081268
(799,1453)(120044,219486)(120000,220000)	chr9	170000	656	0.082784
(895,1498)(130055,229941)(130000,230000)	chr9	180000	605	0.088989
(956,1569)(140031,239826)(140000,240000)	chr9	190000	615	0.102271
(1041,1612)(150000,249868)(150000,250000)	chr9	200000	573	0.106833
(1103,1703)(160076,259958)(160000,260000)	chr9	210000	602	0.136387
(1188,1737)(170034,269034)(170000,270000)	chr9	220000	551	0.150188
(1270,1737)(180134,269034)(180000,280000)	chr9	230000	469	0.159175
(1324,1739)(190160,287803)(190000,290000)	chr9	240000	417	0.170109
(1376,1739)(200299,287803)(200000,300000)	chr9	250000	365	0.183259
(1396,1749)(210348,309215)(210000,310000)	chr9	260000	355	0.202642
(1454,1767)(220362,319314)(220000,320000)	chr9	270000	315	0.241615
(1499,1785)(230074,329961)(230000,330000)	chr9	280000	288	0.251505
(1570,1848)(240924,339982)(240000,340000)	chr9	290000	280	0.234543
(1613,1899)(250055,349730)(250000,350000)	chr9	300000	288	0.242967
(1704,1977)(260177,359908)(260000,360000)	chr9	310000	275	0.235331
(1738,2022)(281323,368802)(270000,370000)	chr9	320000	286	0.234838
(1738,2069)(281323,379480)(280000,380000)	chr9	330000	333	0.250442
(1740,2077)(302954,381629)(290000,390000)	chr9	340000	339	0.253818
(1740,2159)(302954,399769)(300000,400000)	chr9	350000	421	0.242657
(1750,2294)(310152,409895)(310000,410000)	chr9	360000	546	0.207801
(1768,2429)(320629,419602)(320000,420000)	chr9	370000	663	0.167606
(1786,2506)(330175,429973)(330000,430000)	chr9	380000	722	0.158589
(1849,2634)(340725,439966)(340000,440000)	chr9	390000	787	0.178521
(1900,2738)(351102,449930)(350000,450000)	chr9	400000	840	0.167031
(1978,2781)(360144,459969)(360000,460000)	chr9	410000	805	0.156528
